,LIME,LIBD,LIMF,LIRQ,LICJ,LIPZ,LIPY,LIRN,LIPX,LIEO,LIPE,LICA,LICC,LIMJ,LIBP
LIME,0.0,760.3420165465329,168.74474090634754,238.4021280492888,878.4803365140244,207.10185589938538,378.37698746402975,648.6010845466559,97.41048521790138,528.6708838113896,177.26745301972574,924.0044602677533,1014.7595708983546,151.69941025901286,507.14231988438075
LIBD,760.3420165465329,0.0,865.484163520528,543.7495211755354,453.61358855866223,602.0790023931023,383.19658761045935,209.02057816062083,670.4890060345715,609.0245981578363,584.2308949803706,251.78324692217413,433.13793068201005,734.1082926751164,256.9940851417994
LIMF,168.74474090634754,865.484163520528,0.0,321.78098535815957,901.8836650509359,369.3796520562832,498.52985016873737,722.0184144004432,254.74767422481528,499.6190783419862,296.6290530297057,995.9039381715309,1058.9242247453244,134.70893868532653,608.5866932436181
LIRQ,238.4021280492888,543.7495211755354,321.78098535815957,0.0,645.5470247706211,209.22528539278827,187.3098939577766,412.36924718227635,178.1993673756379,350.6162469018684,81.11558050309372,688.338875828711,776.6412647485431,192.50383177804656,286.81046949463683
LICJ,878.4803365140244,453.61358855866223,901.8836650509359,645.5470247706211,0.0,816.3883802720875,605.3021942734432,317.1799063799452,822.6893643075314,433.21335524446437,722.3765317085819,284.92302907832163,190.03730082481593,774.8726203936518,485.1389211343255
LIPZ,207.10185589938538,602.0790023931023,369.3796520562832,209.22528539278827,816.3883802720875,0.0,229.16127676643865,537.04221861884,114.72436646067514,559.8079873790863,136.21270667141678,800.2520916855747,921.5643418037614,294.2680052005242,369.61504742393083
LIPY,378.37698746402975,383.19658761045935,498.52985016873737,187.3098939577766,605.3021942734432,229.16127676643865,0.0,310.4425313768006,287.29879972228775,446.4365486464428,205.19275098901252,571.1194727176842,696.1876103714313,376.3343733315995,140.46136323564457
LIRN,648.6010845466559,209.02057816062083,722.0184144004432,412.36924718227635,317.1799063799452,537.04221861884,310.4425313768006,0.0,572.3626568139288,402.3647064152434,474.1552489402637,275.98989892657465,385.7881123373926,587.3214164711571,175.54307045954312
LIPX,97.41048521790138,670.4890060345715,254.74767422481528,178.1993673756379,822.6893643075314,114.72436646067514,287.29879972228775,572.3626568139288,0.0,510.59857225327437,100.7035040556311,845.4181835763492,947.536309860769,188.16243039840967,421.1589922373468
LIEO,528.6708838113896,609.0245981578363,499.6190783419862,350.6162469018684,433.21335524446437,559.8079873790863,446.4365486464428,402.3647064152434,510.59857225327437,0.0,428.06325759440557,616.838155942107,613.9257076904332,391.5663161840385,427.5564311769401
LIPE,177.26745301972574,584.2308949803706,296.6290530297057,81.11558050309372,722.3765317085819,136.21270667141678,205.19275098901252,474.1552489402637,100.7035040556311,428.06325759440557,0.0,748.562165677543,847.1963648962758,186.66082027961346,329.99083885324933
LICA,924.0044602677533,251.78324692217413,995.9039381715309,688.338875828711,284.92302907832163,800.2520916855747,571.1194727176842,275.98989892657465,845.4181835763492,616.838155942107,748.562165677543,0.0,190.2740718890136,861.2569681417225,430.66093265327066
LICC,1014.7595708983546,433.13793068201005,1058.9242247453244,776.6412647485431,190.03730082481593,921.5643418037614,696.1876103714313,385.7881123373926,947.536309860769,613.9257076904332,847.1963648962758,190.2740718890136,0.0,927.407435426296,560.0539037554024
LIMJ,151.69941025901286,734.1082926751164,134.70893868532653,192.50383177804656,774.8726203936518,294.2680052005242,376.3343733315995,587.3214164711571,188.16243039840967,391.5663161840385,186.66082027961346,861.2569681417225,927.407435426296,0.0,477.8354062969868
LIBP,507.14231988438075,256.9940851417994,608.5866932436181,286.81046949463683,485.1389211343255,369.61504742393083,140.46136323564457,175.54307045954312,421.1589922373468,427.5564311769401,329.99083885324933,430.66093265327066,560.0539037554024,477.8354062969868,0.0
